"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3092","User login with correct email and password","LMS system","Sun Apr 27 12:06:10 GMT 2025","passed","Sun Apr 27 12:06:13 GMT 2025","Authorization","Authentication","",""
"","1368","User login with wrong email or password","LMS system","Sun Apr 27 12:06:13 GMT 2025","passed","Sun Apr 27 12:06:14 GMT 2025","Authorization","Authentication","",""
"","4064","Edit course","LMS system","Sun Apr 27 12:06:51 GMT 2025","passed","Sun Apr 27 12:06:55 GMT 2025","Courses","Courses","",""
"","1685","User login with wrong email or password","LMS system","Sun Apr 27 12:06:16 GMT 2025","passed","Sun Apr 27 12:06:18 GMT 2025","Authorization","Authentication","",""
"","2789","Create course","LMS system","Sun Apr 27 12:06:47 GMT 2025","passed","Sun Apr 27 12:06:50 GMT 2025","Courses","Courses","",""
"","1254","Check displaying of empty courses list","LMS system","Sun Apr 27 12:06:56 GMT 2025","passed","Sun Apr 27 12:06:57 GMT 2025","Courses","Courses","",""
"","1689","User login with wrong email or password","LMS system","Sun Apr 27 12:06:30 GMT 2025","passed","Sun Apr 27 12:06:31 GMT 2025","Authorization","Authentication","",""
"","1229","Check displaying of empty courses list","LMS system","Sun Apr 27 12:06:56 GMT 2025","passed","Sun Apr 27 12:06:57 GMT 2025","Courses","Courses","",""
"","3262","User login with correct email and password","LMS system","Sun Apr 27 12:06:24 GMT 2025","passed","Sun Apr 27 12:06:27 GMT 2025","Authorization","Authentication","",""
"","1986","Registration with correct email, username and password","LMS system","Sun Apr 27 12:06:36 GMT 2025","passed","Sun Apr 27 12:06:38 GMT 2025","Registration","Authentication","",""
"","1630","Check displaying of empty courses list","LMS system","Sun Apr 27 12:06:59 GMT 2025","passed","Sun Apr 27 12:07:01 GMT 2025","Courses","Courses","",""
"","3044","Edit course","LMS system","Sun Apr 27 12:06:46 GMT 2025","passed","Sun Apr 27 12:06:49 GMT 2025","Courses","Courses","",""
"","2598","Create course","LMS system","Sun Apr 27 12:06:41 GMT 2025","passed","Sun Apr 27 12:06:44 GMT 2025","Courses","Courses","",""
"","6738","User login with correct email and password","LMS system","Sun Apr 27 12:06:16 GMT 2025","passed","Sun Apr 27 12:06:22 GMT 2025","Authorization","Authentication","",""
"","1112","Navigation from login page to registration page","LMS system","Sun Apr 27 12:06:32 GMT 2025","passed","Sun Apr 27 12:06:33 GMT 2025","Authorization","Authentication","",""
"","4256","Edit course","LMS system","Sun Apr 27 12:06:51 GMT 2025","passed","Sun Apr 27 12:06:55 GMT 2025","Courses","Courses","",""
"","1653","User login with wrong email or password","LMS system","Sun Apr 27 12:06:21 GMT 2025","passed","Sun Apr 27 12:06:22 GMT 2025","Authorization","Authentication","",""
"","1468","Navigation from login page to registration page","LMS system","Sun Apr 27 12:06:34 GMT 2025","passed","Sun Apr 27 12:06:35 GMT 2025","Authorization","Authentication","",""
"","1173","User login with wrong email or password","LMS system","Sun Apr 27 12:06:15 GMT 2025","passed","Sun Apr 27 12:06:16 GMT 2025","Authorization","Authentication","",""
"","2123","Registration with correct email, username and password","LMS system","Sun Apr 27 12:06:37 GMT 2025","passed","Sun Apr 27 12:06:39 GMT 2025","Registration","Authentication","",""
"","1813","User login with wrong email or password","LMS system","Sun Apr 27 12:06:24 GMT 2025","passed","Sun Apr 27 12:06:26 GMT 2025","Authorization","Authentication","",""
"","1789","Check displaying of dashboard page","LMS system","Sun Apr 27 12:06:58 GMT 2025","passed","Sun Apr 27 12:07:00 GMT 2025","Dashboard","Dashboard","",""
"","1677","Registration with correct email, username and password","LMS system","Sun Apr 27 12:06:34 GMT 2025","passed","Sun Apr 27 12:06:36 GMT 2025","Registration","Authentication","",""
"","1507","User login with wrong email or password","LMS system","Sun Apr 27 12:06:18 GMT 2025","passed","Sun Apr 27 12:06:20 GMT 2025","Authorization","Authentication","",""
"","2044","Check displaying of dashboard page","LMS system","Sun Apr 27 12:07:02 GMT 2025","passed","Sun Apr 27 12:07:04 GMT 2025","Dashboard","Dashboard","",""
"","1576","Navigation from login page to registration page","LMS system","Sun Apr 27 12:06:31 GMT 2025","passed","Sun Apr 27 12:06:33 GMT 2025","Authorization","Authentication","",""
"","2077","Check displaying of dashboard page","LMS system","Sun Apr 27 12:07:02 GMT 2025","passed","Sun Apr 27 12:07:04 GMT 2025","Dashboard","Dashboard","",""
"","1673","User login with wrong email or password","LMS system","Sun Apr 27 12:06:28 GMT 2025","passed","Sun Apr 27 12:06:29 GMT 2025","Authorization","Authentication","",""
"","1778","User login with wrong email or password","LMS system","Sun Apr 27 12:06:10 GMT 2025","passed","Sun Apr 27 12:06:12 GMT 2025","Authorization","Authentication","",""
"","3008","Create course","LMS system","Sun Apr 27 12:06:42 GMT 2025","passed","Sun Apr 27 12:06:45 GMT 2025","Courses","Courses","",""
